Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
3.43581677431513e+06	7.20884669681767e-03,0.00000000000000e+00	1.37068645508462e-04,0.00000000000000e+00	1.90611596016067e-05,0.00000000000000e+00	1.90611596016086e-05,0.00000000000000e+00	7.20884669681886e-03,0.00000000000000e+00
3.44373714997197e+06	7.24901873474077e-03,0.00000000000000e+00	1.39069879217085e-04,0.00000000000000e+00	1.94168543527892e-05,0.00000000000000e+00	1.94168543527886e-05,0.00000000000000e+00	7.24901873474006e-03,0.00000000000000e+00
3.45167578398036e+06	7.28957288594527e-03,0.00000000000000e+00	1.41108701390905e-04,0.00000000000000e+00	1.97802280156751e-05,0.00000000000000e+00	1.97802280156740e-05,0.00000000000000e+00	7.28957288594513e-03,0.00000000000000e+00
3.45963271843016e+06	7.33051417542565e-03,0.00000000000000e+00	1.43185996286553e-04,0.00000000000000e+00	2.01514744903335e-05,0.00000000000000e+00	2.01514744903319e-05,0.00000000000000e+00	7.33051417542657e-03,0.00000000000000e+00
3.46760799550823e+06	7.37184770255033e-03,0.00000000000000e+00	1.45302673290643e-04,0.00000000000000e+00	2.05307933960640e-05,0.00000000000000e+00	2.05307933960650e-05,0.00000000000000e+00	7.37184770255075e-03,0.00000000000000e+00
3.47560165749871e+06	7.41357864194196e-03,0.00000000000000e+00	1.47459667756645e-04,0.00000000000000e+00	2.09183902664575e-05,0.00000000000000e+00	2.09183902664569e-05,0.00000000000000e+00	7.41357864194249e-03,0.00000000000000e+00
3.48361374678318e+06	7.45571224438215e-03,0.00000000000000e+00	1.49657941873656e-04,0.00000000000000e+00	2.13144767517833e-05,0.00000000000000e+00	2.13144767517839e-05,0.00000000000000e+00	7.45571224438148e-03,0.00000000000000e+00
3.49164430584096e+06	7.49825383766480e-03,0.00000000000000e+00	1.51898485568638e-04,0.00000000000000e+00	2.17192708295089e-05,0.00000000000000e+00	2.17192708295089e-05,0.00000000000000e+00	7.49825383766451e-03,0.00000000000000e+00
3.49969337724927e+06	7.54120882747576e-03,0.00000000000000e+00	1.54182317443228e-04,0.00000000000000e+00	2.21329970228997e-05,0.00000000000000e+00	2.21329970229000e-05,0.00000000000000e+00	7.54120882747602e-03,0.00000000000000e+00
3.50776100368348e+06	7.58458269822722e-03,0.00000000000000e+00	1.56510485746835e-04,0.00000000000000e+00	2.25558866283406e-05,0.00000000000000e+00	2.25558866283398e-05,0.00000000000000e+00	7.58458269822729e-03,0.00000000000000e+00
3.51584722791734e+06	7.62838101388058e-03,0.00000000000000e+00	1.58884069387628e-04,0.00000000000000e+00	2.29881779515401e-05,0.00000000000000e+00	2.29881779515402e-05,0.00000000000000e+00	7.62838101388135e-03,0.00000000000000e+00
3.52395209282321e+06	7.67260941876319e-03,0.00000000000000e+00	1.61304178982876e-04,0.00000000000000e+00	2.34301165531900e-05,0.00000000000000e+00	2.34301165531900e-05,0.00000000000000e+00	7.67260941876250e-03,0.00000000000000e+00
3.53207564137228e+06	7.71727363833313e-03,0.00000000000000e+00	1.63771957950682e-04,0.00000000000000e+00	2.38819555043570e-05,0.00000000000000e+00	2.38819555043565e-05,0.00000000000000e+00	7.71727363833299e-03,0.00000000000000e+00
3.54021791663480e+06	7.76237947995835e-03,0.00000000000000e+00	1.66288583644461e-04,0.00000000000000e+00	2.43439556522356e-05,0.00000000000000e+00	2.43439556522360e-05,0.00000000000000e+00	7.76237947995824e-03,0.00000000000000e+00
3.54837896178028e+06	7.80793283362390e-03,0.00000000000000e+00	1.68855268532866e-04,0.00000000000000e+00	2.48163858965257e-05,0.00000000000000e+00	2.48163858965257e-05,0.00000000000000e+00	7.80793283362420e-03,0.00000000000000e+00
3.55655882007780e+06	7.85393967264227e-03,0.00000000000000e+00	1.71473261425835e-04,0.00000000000000e+00	2.52995234768713e-05,0.00000000000000e+00	2.52995234768720e-05,0.00000000000000e+00	7.85393967264215e-03,0.00000000000000e+00
3.56475753489613e+06	7.90040605430389e-03,0.00000000000000e+00	1.74143848750910e-04,0.00000000000000e+00	2.57936542723654e-05,0.00000000000000e+00	2.57936542723654e-05,0.00000000000000e+00	7.90040605430487e-03,0.00000000000000e+00
3.57297514970405e+06	7.94733812050925e-03,0.00000000000000e+00	1.76868355879542e-04,0.00000000000000e+00	2.62990731128034e-05,0.00000000000000e+00	2.62990731128035e-05,0.00000000000000e+00	7.94733812050939e-03,0.00000000000000e+00
3.58121170807054e+06	7.99474209833842e-03,0.00000000000000e+00	1.79648148507951e-04,0.00000000000000e+00	2.68160841031496e-05,0.00000000000000e+00	2.68160841031495e-05,0.00000000000000e+00	7.99474209833920e-03,0.00000000000000e+00
3.58946725366500e+06	8.04262430058619e-03,0.00000000000000e+00	1.82484634093313e-04,0.00000000000000e+00	2.73450009610244e-05,0.00000000000000e+00	2.73450009610245e-05,0.00000000000000e+00	8.04262430058618e-03,0.00000000000000e+00
3.59774183025753e+06	8.09099112624879e-03,0.00000000000000e+00	1.85379263349367e-04,0.00000000000000e+00	2.78861473685820e-05,0.00000000000000e+00	2.78861473685822e-05,0.00000000000000e+00	8.09099112624872e-03,0.00000000000000e+00
3.60603548171909e+06	8.13984906094160e-03,0.00000000000000e+00	1.88333531802302e-04,0.00000000000000e+00	2.84398573386960e-05,0.00000000000000e+00	2.84398573386959e-05,0.00000000000000e+00	8.13984906094159e-03,0.00000000000000e+00
3.61434825202180e+06	8.18920467727167e-03,0.00000000000000e+00	1.91348981411686e-04,0.00000000000000e+00	2.90064755965963e-05,0.00000000000000e+00	2.90064755965963e-05,0.00000000000000e+00	8.18920467727145e-03,0.00000000000000e+00
3.62268018523915e+06	8.23906463513044e-03,0.00000000000000e+00	1.94427202257938e-04,0.00000000000000e+00	2.95863579776876e-05,0.00000000000000e+00	2.95863579776876e-05,0.00000000000000e+00	8.23906463513074e-03,0.00000000000000e+00
3.63103132554622e+06	8.28943568193223e-03,0.00000000000000e+00	1.97569834300337e-04,0.00000000000000e+00	3.01798718420451e-05,0.00000000000000e+00	3.01798718420451e-05,0.00000000000000e+00	8.28943568193219e-03,0.00000000000000e+00
3.63940171721992e+06	8.34032465274948e-03,0.00000000000000e+00	2.00778569208201e-04,0.00000000000000e+00	3.07873965065079e-05,0.00000000000000e+00	3.07873965065080e-05,0.00000000000000e+00	8.34032465274909e-03,0.00000000000000e+00
3.64779140463922e+06	8.39173847038511e-03,0.00000000000000e+00	2.04055152269305e-04,0.00000000000000e+00	3.14093236953355e-05,0.00000000000000e+00	3.14093236953354e-05,0.00000000000000e+00	8.39173847038509e-03,0.00000000000000e+00
3.65620043228543e+06	8.44368414536300e-03,0.00000000000000e+00	2.07401384379403e-04,0.00000000000000e+00	3.20460580102511e-05,0.00000000000000e+00	3.20460580102510e-05,0.00000000000000e+00	8.44368414536387e-03,0.00000000000000e+00
3.66462884474237e+06	8.49616877578694e-03,0.00000000000000e+00	2.10819124115226e-04,0.00000000000000e+00	3.26980174205140e-05,0.00000000000000e+00	3.26980174205136e-05,0.00000000000000e+00	8.49616877578584e-03,0.00000000000000e+00
3.67307668669664e+06	8.54919954711743e-03,0.00000000000000e+00	2.14310289896896e-04,0.00000000000000e+00	3.33656337745348e-05,0.00000000000000e+00	3.33656337745352e-05,0.00000000000000e+00	8.54919954711809e-03,0.00000000000000e+00
3.68154400293786e+06	8.60278373184800e-03,0.00000000000000e+00	2.17876862242562e-04,0.00000000000000e+00	3.40493533336285e-05,0.00000000000000e+00	3.40493533336284e-05,0.00000000000000e+00	8.60278373184831e-03,0.00000000000000e+00
3.69003083835889e+06	8.65692868902299e-03,0.00000000000000e+00	2.21520886120882e-04,0.00000000000000e+00	3.47496373292283e-05,0.00000000000000e+00	3.47496373292283e-05,0.00000000000000e+00	8.65692868902233e-03,0.00000000000000e+00
3.69853723795610e+06	8.71164186365931e-03,0.00000000000000e+00	2.25244473405381e-04,0.00000000000000e+00	3.54669625445643e-05,0.00000000000000e+00	3.54669625445651e-05,0.00000000000000e+00	8.71164186366024e-03,0.00000000000000e+00
3.70706324682957e+06	8.76693078600883e-03,0.00000000000000e+00	2.29049805435309e-04,0.00000000000000e+00	3.62018219222243e-05,0.00000000000000e+00	3.62018219222247e-05,0.00000000000000e+00	8.76693078600781e-03,0.00000000000000e+00
3.71560891018334e+06	8.82280307066380e-03,0.00000000000000e+00	2.32939135689642e-04,0.00000000000000e+00	3.69547251985774e-05,0.00000000000000e+00	3.69547251985787e-05,0.00000000000000e+00	8.82280307066428e-03,0.00000000000000e+00
3.72417427332568e+06	8.87926641553731e-03,0.00000000000000e+00	2.36914792578535e-04,0.00000000000000e+00	3.77261995668524e-05,0.00000000000000e+00	3.77261995668534e-05,0.00000000000000e+00	8.87926641553713e-03,0.00000000000000e+00
3.73275938166929e+06	8.93632860061515e-03,0.00000000000000e+00	2.40979182358768e-04,0.00000000000000e+00	3.85167903697745e-05,0.00000000000000e+00	3.85167903697747e-05,0.00000000000000e+00	8.93632860061608e-03,0.00000000000000e+00
3.74136428073155e+06	8.99399748657071e-03,0.00000000000000e+00	2.45134792178270e-04,0.00000000000000e+00	3.93270618236648e-05,0.00000000000000e+00	3.93270618236661e-05,0.00000000000000e+00	8.99399748657057e-03,0.00000000000000e+00
3.74998901613478e+06	9.05228101314417e-03,0.00000000000000e+00	2.49384193258756e-04,0.00000000000000e+00	4.01575977755451e-05,0.00000000000000e+00	4.01575977755444e-05,0.00000000000000e+00	9.05228101314546e-03,0.00000000000000e+00
3.75863363360648e+06	9.11118719735066e-03,0.00000000000000e+00	2.53730044220346e-04,0.00000000000000e+00	4.10090024947170e-05,0.00000000000000e+00	4.10090024947177e-05,0.00000000000000e+00	9.11118719735156e-03,0.00000000000000e+00
3.76729817897955e+06	9.17072413141755e-03,0.00000000000000e+00	2.58175094557653e-04,0.00000000000000e+00	4.18819015008221e-05,0.00000000000000e+00	4.18819015008218e-05,0.00000000000000e+00	9.17072413141748e-03,0.00000000000000e+00
3.77598269819253e+06	9.23089998049992e-03,0.00000000000000e+00	2.62722188273737e-04,0.00000000000000e+00	4.27769424301159e-05,0.00000000000000e+00	4.27769424301168e-05,0.00000000000000e+00	9.23089998050034e-03,0.00000000000000e+00
3.78468723728989e+06	9.29172298015465e-03,0.00000000000000e+00	2.67374267681845e-04,0.00000000000000e+00	4.36947959422402e-05,0.00000000000000e+00	4.36947959422399e-05,0.00000000000000e+00	9.29172298015356e-03,0.00000000000000e+00
3.79341184242224e+06	9.35320143349746e-03,0.00000000000000e+00	2.72134377380798e-04,0.00000000000000e+00	4.46361566691039e-05,0.00000000000000e+00	4.46361566691036e-05,0.00000000000000e+00	9.35320143349612e-03,0.00000000000000e+00
3.80215655984654e+06	9.41534370810536e-03,0.00000000000000e+00	2.77005668416369e-04,0.00000000000000e+00	4.56017442085498e-05,0.00000000000000e+00	4.56017442085510e-05,0.00000000000000e+00	9.41534370810530e-03,0.00000000000000e+00
3.81092143592644e+06	9.47815823258692e-03,0.00000000000000e+00	2.81991402635711e-04,0.00000000000000e+00	4.65923041649793e-05,0.00000000000000e+00	4.65923041649817e-05,0.00000000000000e+00	9.47815823258670e-03,0.00000000000000e+00
3.81970651713242e+06	9.54165349281799e-03,0.00000000000000e+00	2.87094957247125e-04,0.00000000000000e+00	4.76086092396581e-05,0.00000000000000e+00	4.76086092396551e-05,0.00000000000000e+00	9.54165349281861e-03,0.00000000000000e+00
3.82851185004211e+06	9.60583802781886e-03,0.00000000000000e+00	2.92319829593787e-04,0.00000000000000e+00	4.86514603727258e-05,0.00000000000000e+00	4.86514603727265e-05,0.00000000000000e+00	9.60583802781942e-03,0.00000000000000e+00
3.83733748134052e+06	9.67072042527103e-03,0.00000000000000e+00	2.97669642155704e-04,0.00000000000000e+00	4.97216879408156e-05,0.00000000000000e+00	4.97216879408154e-05,0.00000000000000e+00	9.67072042527054e-03,0.00000000000000e+00
3.84618345782026e+06	9.73630931660864e-03,0.00000000000000e+00	3.03148147789946e-04,0.00000000000000e+00	5.08201530120526e-05,0.00000000000000e+00	5.08201530120558e-05,0.00000000000000e+00	9.73630931660877e-03,0.00000000000000e+00
3.85504982638181e+06	9.80261337169827e-03,0.00000000000000e+00	3.08759235222880e-04,0.00000000000000e+00	5.19477486626857e-05,0.00000000000000e+00	5.19477486626826e-05,0.00000000000000e+00	9.80261337169700e-03,0.00000000000000e+00
3.86393663403379e+06	9.86964129305588e-03,0.00000000000000e+00	3.14506934808280e-04,0.00000000000000e+00	5.31054013577812e-05,0.00000000000000e+00	5.31054013577852e-05,0.00000000000000e+00	9.86964129305663e-03,0.00000000000000e+00
3.87284392789316e+06	9.93740180958859e-03,0.00000000000000e+00	3.20395424565775e-04,0.00000000000000e+00	5.42940724004965e-05,0.00000000000000e+00	5.42940724004963e-05,0.00000000000000e+00	9.93740180958784e-03,0.00000000000000e+00
3.88177175518550e+06	1.00059036698107e-02,0.00000000000000e+00	3.26429036515560e-04,0.00000000000000e+00	5.55147594527820e-05,0.00000000000000e+00	5.55147594527799e-05,0.00000000000000e+00	1.00059036698107e-02,0.00000000000000e+00
3.89072016324527e+06	1.00751556345305e-02,0.00000000000000e+00	3.32612263324628e-04,0.00000000000000e+00	5.67684981322401e-05,0.00000000000000e+00	5.67684981322366e-05,0.00000000000000e+00	1.00751556345309e-02,0.00000000000000e+00
3.89968919951603e+06	1.01451664689452e-02,0.00000000000000e+00	3.38949765283606e-04,0.00000000000000e+00	5.80563636892266e-05,0.00000000000000e+00	5.80563636892248e-05,0.00000000000000e+00	1.01451664689449e-02,0.00000000000000e+00
3.90867891155073e+06	1.02159449341438e-02,0.00000000000000e+00	3.45446377632883e-04,0.00000000000000e+00	5.93794727686731e-05,0.00000000000000e+00	5.93794727686707e-05,0.00000000000000e+00	1.02159449341438e-02,0.00000000000000e+00
3.91768934701192e+06	1.02874997779387e-02,0.00000000000000e+00	3.52107118254130e-04,0.00000000000000e+00	6.07389852614313e-05,0.00000000000000e+00	6.07389852614357e-05,0.00000000000000e+00	1.02874997779385e-02,0.00000000000000e+00
3.92672055367203e+06	1.03598397250314e-02,0.00000000000000e+00	3.58937195755988e-04,0.00000000000000e+00	6.21361062509121e-05,0.00000000000000e+00	6.21361062509108e-05,0.00000000000000e+00	1.03598397250311e-02,0.00000000000000e+00
3.93577257941363e+06	1.04329734664317e-02,0.00000000000000e+00	3.65942017966902e-04,0.00000000000000e+00	6.35720880591101e-05,0.00000000000000e+00	6.35720880591071e-05,0.00000000000000e+00	1.04329734664327e-02,0.00000000000000e+00
