Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.83811504337816e+06	1.82609696290734e-02,0.00000000000000e+00	7.43314075353776e-05,0.00000000000000e+00	7.43314075353776e-05,0.00000000000000e+00	1.82609696290732e-02,0.00000000000000e+00
2.84465757424562e+06	1.82539903227058e-02,0.00000000000000e+00	7.44458219906538e-05,0.00000000000000e+00	7.44458219906538e-05,0.00000000000000e+00	1.82539903227050e-02,0.00000000000000e+00
2.85121518720435e+06	1.82469868560497e-02,0.00000000000000e+00	7.45601933053731e-05,0.00000000000000e+00	7.45601933053731e-05,0.00000000000000e+00	1.82469868560505e-02,0.00000000000000e+00
2.85778791702218e+06	1.82399591765240e-02,0.00000000000000e+00	7.46745200649373e-05,0.00000000000000e+00	7.46745200649373e-05,0.00000000000000e+00	1.82399591765234e-02,0.00000000000000e+00
2.86437579854706e+06	1.82329072316657e-02,0.00000000000000e+00	7.47888008490955e-05,0.00000000000000e+00	7.47888008490955e-05,0.00000000000000e+00	1.82329072316657e-02,0.00000000000000e+00
2.87097886670729e+06	1.82258309691564e-02,0.00000000000000e+00	7.49030342319823e-05,0.00000000000000e+00	7.49030342319824e-05,0.00000000000000e+00	1.82258309691559e-02,0.00000000000000e+00
2.87759715651167e+06	1.82187303367988e-02,0.00000000000000e+00	7.50172187820849e-05,0.00000000000000e+00	7.50172187820849e-05,0.00000000000000e+00	1.82187303367990e-02,0.00000000000000e+00
2.88423070304971e+06	1.82116052825410e-02,0.00000000000000e+00	7.51313530623079e-05,0.00000000000000e+00	7.51313530623079e-05,0.00000000000000e+00	1.82116052825409e-02,0.00000000000000e+00
2.89087954149183e+06	1.82044557544572e-02,0.00000000000000e+00	7.52454356299412e-05,0.00000000000000e+00	7.52454356299412e-05,0.00000000000000e+00	1.82044557544584e-02,0.00000000000000e+00
2.89754370708950e+06	1.81972817007702e-02,0.00000000000000e+00	7.53594650367172e-05,0.00000000000000e+00	7.53594650367172e-05,0.00000000000000e+00	1.81972817007717e-02,0.00000000000000e+00
2.90422323517546e+06	1.81900830698434e-02,0.00000000000000e+00	7.54734398288151e-05,0.00000000000000e+00	7.54734398288151e-05,0.00000000000000e+00	1.81900830698431e-02,0.00000000000000e+00
2.91091816116391e+06	1.81828598101773e-02,0.00000000000000e+00	7.55873585468691e-05,0.00000000000000e+00	7.55873585468692e-05,0.00000000000000e+00	1.81828598101770e-02,0.00000000000000e+00
