Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
3.02712249687239e+06	8.88595987006100e-03,0.00000000000000e+00	1.85936692727923e-04,0.00000000000000e+00	2.39463196492721e-05,0.00000000000000e+00	2.39463196492721e-05,0.00000000000000e+00	8.88595987006262e-03,0.00000000000000e+00
3.03410073491864e+06	8.86955365218757e-03,0.00000000000000e+00	1.85604822608535e-04,0.00000000000000e+00	2.39484986405494e-05,0.00000000000000e+00	2.39484986405494e-05,0.00000000000000e+00	8.86955365218680e-03,0.00000000000000e+00
3.04109505946496e+06	8.85316287210701e-03,0.00000000000000e+00	1.85273268543230e-04,0.00000000000000e+00	2.39506038245566e-05,0.00000000000000e+00	2.39506038245566e-05,0.00000000000000e+00	8.85316287210790e-03,0.00000000000000e+00
3.04810550759455e+06	8.83678759760351e-03,0.00000000000000e+00	1.84942031856389e-04,0.00000000000000e+00	2.39526351873464e-05,0.00000000000000e+00	2.39526351873464e-05,0.00000000000000e+00	8.83678759760362e-03,0.00000000000000e+00
3.05513211647612e+06	8.82042789600262e-03,0.00000000000000e+00	1.84611113862919e-04,0.00000000000000e+00	2.39545927154699e-05,0.00000000000000e+00	2.39545927154699e-05,0.00000000000000e+00	8.82042789600280e-03,0.00000000000000e+00
3.06217492336403e+06	8.80408383418799e-03,0.00000000000000e+00	1.84280515868312e-04,0.00000000000000e+00	2.39564763959831e-05,0.00000000000000e+00	2.39564763959831e-05,0.00000000000000e+00	8.80408383418817e-03,0.00000000000000e+00
3.06923396559856e+06	8.78775547858759e-03,0.00000000000000e+00	1.83950239168467e-04,0.00000000000000e+00	2.39582862164215e-05,0.00000000000000e+00	2.39582862164215e-05,0.00000000000000e+00	8.78775547858761e-03,0.00000000000000e+00
3.07630928060604e+06	8.77144289518529e-03,0.00000000000000e+00	1.83620285049900e-04,0.00000000000000e+00	2.39600221648273e-05,0.00000000000000e+00	2.39600221648273e-05,0.00000000000000e+00	8.77144289518453e-03,0.00000000000000e+00
3.08340090589909e+06	8.75514614951229e-03,0.00000000000000e+00	1.83290654789625e-04,0.00000000000000e+00	2.39616842297319e-05,0.00000000000000e+00	2.39616842297319e-05,0.00000000000000e+00	8.75514614951171e-03,0.00000000000000e+00
3.09050887907680e+06	8.73886530665417e-03,0.00000000000000e+00	1.82961349655204e-04,0.00000000000000e+00	2.39632724001615e-05,0.00000000000000e+00	2.39632724001615e-05,0.00000000000000e+00	8.73886530665410e-03,0.00000000000000e+00
3.09763323782493e+06	8.72260043124572e-03,0.00000000000000e+00	1.82632370904683e-04,0.00000000000000e+00	2.39647866656266e-05,0.00000000000000e+00	2.39647866656266e-05,0.00000000000000e+00	8.72260043124525e-03,0.00000000000000e+00
3.10477401991613e+06	8.70635158747684e-03,0.00000000000000e+00	1.82303719786773e-04,0.00000000000000e+00	2.39662270161456e-05,0.00000000000000e+00	2.39662270161456e-05,0.00000000000000e+00	8.70635158747642e-03,0.00000000000000e+00
3.11193126321012e+06	8.69011883908715e-03,0.00000000000000e+00	1.81975397540654e-04,0.00000000000000e+00	2.39675934422163e-05,0.00000000000000e+00	2.39675934422163e-05,0.00000000000000e+00	8.69011883908681e-03,0.00000000000000e+00
3.11910500565387e+06	8.67390224936776e-03,0.00000000000000e+00	1.81647405396057e-04,0.00000000000000e+00	2.39688859348263e-05,0.00000000000000e+00	2.39688859348263e-05,0.00000000000000e+00	8.67390224936759e-03,0.00000000000000e+00
3.12629528528188e+06	8.65770188116316e-03,0.00000000000000e+00	1.81319744573301e-04,0.00000000000000e+00	2.39701044854553e-05,0.00000000000000e+00	2.39701044854553e-05,0.00000000000000e+00	8.65770188116356e-03,0.00000000000000e+00
3.13350214021627e+06	8.64151779687517e-03,0.00000000000000e+00	1.80992416283347e-04,0.00000000000000e+00	2.39712490860821e-05,0.00000000000000e+00	2.39712490860821e-05,0.00000000000000e+00	8.64151779687591e-03,0.00000000000000e+00
3.14072560866707e+06	8.62535005845510e-03,0.00000000000000e+00	1.80665421727658e-04,0.00000000000000e+00	2.39723197291633e-05,0.00000000000000e+00	2.39723197291633e-05,0.00000000000000e+00	8.62535005845508e-03,0.00000000000000e+00
3.14796572893241e+06	8.60919872741092e-03,0.00000000000000e+00	1.80338762098408e-04,0.00000000000000e+00	2.39733164076604e-05,0.00000000000000e+00	2.39733164076604e-05,0.00000000000000e+00	8.60919872741119e-03,0.00000000000000e+00
3.15522253939866e+06	8.59306386480034e-03,0.00000000000000e+00	1.80012438578210e-04,0.00000000000000e+00	2.39742391150014e-05,0.00000000000000e+00	2.39742391150014e-05,0.00000000000000e+00	8.59306386480061e-03,0.00000000000000e+00
3.16249607854073e+06	8.57694553124224e-03,0.00000000000000e+00	1.79686452340436e-04,0.00000000000000e+00	2.39750878451220e-05,0.00000000000000e+00	2.39750878451220e-05,0.00000000000000e+00	8.57694553124141e-03,0.00000000000000e+00
3.16978638492219e+06	8.56084378690226e-03,0.00000000000000e+00	1.79360804548991e-04,0.00000000000000e+00	2.39758625924343e-05,0.00000000000000e+00	2.39758625924343e-05,0.00000000000000e+00	8.56084378690252e-03,0.00000000000000e+00
3.17709349719552e+06	8.54475869150948e-03,0.00000000000000e+00	1.79035496358455e-04,0.00000000000000e+00	2.39765633518434e-05,0.00000000000000e+00	2.39765633518434e-05,0.00000000000000e+00	8.54475869151042e-03,0.00000000000000e+00
3.18441745410231e+06	8.52869030434854e-03,0.00000000000000e+00	1.78710528914067e-04,0.00000000000000e+00	2.39771901187442e-05,0.00000000000000e+00	2.39771901187442e-05,0.00000000000000e+00	8.52869030434835e-03,0.00000000000000e+00
3.19175829447343e+06	8.51263868425443e-03,0.00000000000000e+00	1.78385903351684e-04,0.00000000000000e+00	2.39777428890135e-05,0.00000000000000e+00	2.39777428890135e-05,0.00000000000000e+00	8.51263868425425e-03,0.00000000000000e+00
3.19911605722930e+06	8.49660388962535e-03,0.00000000000000e+00	1.78061620797843e-04,0.00000000000000e+00	2.39782216590174e-05,0.00000000000000e+00	2.39782216590174e-05,0.00000000000000e+00	8.49660388962381e-03,0.00000000000000e+00
3.20649078138005e+06	8.48058597841222e-03,0.00000000000000e+00	1.77737682369798e-04,0.00000000000000e+00	2.39786264256143e-05,0.00000000000000e+00	2.39786264256143e-05,0.00000000000000e+00	8.48058597841211e-03,0.00000000000000e+00
3.21388250602572e+06	8.46458500812851e-03,0.00000000000000e+00	1.77414089175405e-04,0.00000000000000e+00	2.39789571861371e-05,0.00000000000000e+00	2.39789571861371e-05,0.00000000000000e+00	8.46458500812808e-03,0.00000000000000e+00
3.22129127035651e+06	8.44860103584262e-03,0.00000000000000e+00	1.77090842313287e-04,0.00000000000000e+00	2.39792139384143e-05,0.00000000000000e+00	2.39792139384143e-05,0.00000000000000e+00	8.44860103584232e-03,0.00000000000000e+00
3.22871711365294e+06	8.43263411818672e-03,0.00000000000000e+00	1.76767942872820e-04,0.00000000000000e+00	2.39793966807663e-05,0.00000000000000e+00	2.39793966807663e-05,0.00000000000000e+00	8.43263411818650e-03,0.00000000000000e+00
3.23616007528610e+06	8.41668431134616e-03,0.00000000000000e+00	1.76445391933993e-04,0.00000000000000e+00	2.39795054119842e-05,0.00000000000000e+00	2.39795054119842e-05,0.00000000000000e+00	8.41668431134648e-03,0.00000000000000e+00
3.24362019471782e+06	8.40075167107505e-03,0.00000000000000e+00	1.76123190567652e-04,0.00000000000000e+00	2.39795401313613e-05,0.00000000000000e+00	2.39795401313613e-05,0.00000000000000e+00	8.40075167107401e-03,0.00000000000000e+00
3.25109751150093e+06	8.38483625267645e-03,0.00000000000000e+00	1.75801339835281e-04,0.00000000000000e+00	2.39795008386616e-05,0.00000000000000e+00	2.39795008386616e-05,0.00000000000000e+00	8.38483625267623e-03,0.00000000000000e+00
3.25859206527941e+06	8.36893811102831e-03,0.00000000000000e+00	1.75479840789275e-04,0.00000000000000e+00	2.39793875341547e-05,0.00000000000000e+00	2.39793875341547e-05,0.00000000000000e+00	8.36893811102856e-03,0.00000000000000e+00
3.26610389578863e+06	8.35305730055944e-03,0.00000000000000e+00	1.75158694472617e-04,0.00000000000000e+00	2.39792002185702e-05,0.00000000000000e+00	2.39792002185702e-05,0.00000000000000e+00	8.35305730055941e-03,0.00000000000000e+00
3.27363304285558e+06	8.33719387527174e-03,0.00000000000000e+00	1.74837901919334e-04,0.00000000000000e+00	2.39789388931578e-05,0.00000000000000e+00	2.39789388931578e-05,0.00000000000000e+00	8.33719387527159e-03,0.00000000000000e+00
3.28117954639904e+06	8.32134788872050e-03,0.00000000000000e+00	1.74517464154042e-04,0.00000000000000e+00	2.39786035596234e-05,0.00000000000000e+00	2.39786035596234e-05,0.00000000000000e+00	8.32134788872098e-03,0.00000000000000e+00
3.28874344642983e+06	8.30551939403216e-03,0.00000000000000e+00	1.74197382192303e-04,0.00000000000000e+00	2.39781942201754e-05,0.00000000000000e+00	2.39781942201755e-05,0.00000000000000e+00	8.30551939403310e-03,0.00000000000000e+00
3.29632478305098e+06	8.28970844389481e-03,0.00000000000000e+00	1.73877657040453e-04,0.00000000000000e+00	2.39777108775004e-05,0.00000000000000e+00	2.39777108775004e-05,0.00000000000000e+00	8.28970844389518e-03,0.00000000000000e+00
