Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.11850745035458e+06	1.10490991218911e-02,0.00000000000000e+00	2.03129521366267e-05,0.00000000000000e+00	2.03129521366320e-05,0.00000000000000e+00	1.10490991218937e-02,0.00000000000000e+00
2.12339111439745e+06	1.10745913386552e-02,0.00000000000000e+00	2.04538338370875e-05,0.00000000000000e+00	2.04538338370888e-05,0.00000000000000e+00	1.10745913386549e-02,0.00000000000000e+00
2.12828603644863e+06	1.11001344197169e-02,0.00000000000000e+00	2.05956631290400e-05,0.00000000000000e+00	2.05956631290416e-05,0.00000000000000e+00	1.11001344197173e-02,0.00000000000000e+00
2.13319224246051e+06	1.11257283342432e-02,0.00000000000000e+00	2.07384457597762e-05,0.00000000000000e+00	2.07384457597774e-05,0.00000000000000e+00	1.11257283342446e-02,0.00000000000000e+00
2.13810975844531e+06	1.11513730492868e-02,0.00000000000000e+00	2.08821874993461e-05,0.00000000000000e+00	2.08821874993473e-05,0.00000000000000e+00	1.11513730492891e-02,0.00000000000000e+00
2.14303861047521e+06	1.11770685297369e-02,0.00000000000000e+00	2.10268941402762e-05,0.00000000000000e+00	2.10268941402771e-05,0.00000000000000e+00	1.11770685297387e-02,0.00000000000000e+00
2.14797882468249e+06	1.12028147383059e-02,0.00000000000000e+00	2.11725714975595e-05,0.00000000000000e+00	2.11725714975621e-05,0.00000000000000e+00	1.12028147383039e-02,0.00000000000000e+00
2.15293042725967e+06	1.12286116354774e-02,0.00000000000000e+00	2.13192254083485e-05,0.00000000000000e+00	2.13192254083462e-05,0.00000000000000e+00	1.12286116354749e-02,0.00000000000000e+00
2.15789344445965e+06	1.12544591795067e-02,0.00000000000000e+00	2.14668617318822e-05,0.00000000000000e+00	2.14668617318823e-05,0.00000000000000e+00	1.12544591795084e-02,0.00000000000000e+00
2.16286790259587e+06	1.12803573263802e-02,0.00000000000000e+00	2.16154863492558e-05,0.00000000000000e+00	2.16154863492575e-05,0.00000000000000e+00	1.12803573263778e-02,0.00000000000000e+00
